key,description,en,cs_auto,fr_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descripton.1,,"Discover the Full Bafang Catalog
Explore our complete selection of Bafang products, a global leader in electric mobility solutions. From high-performance mid-drive motors and hub motors to advanced batteries, displays, sensors, and accessories, our catalog brings together everything you need to upgrade, repair, or build your e-bike with trusted Bafang quality.
Whether you’re a commuter, mountain biker, DIY builder, or professional installer, Bafang offers reliable, efficient, and durable components designed for smooth power delivery and an exceptional riding experience. Browse the entire collection and find the perfect parts to boost performance, enhance comfort, and enjoy the freedom of electric cycling.
","Objevte kompletní katalog Bafang
Prozkoumejte naši kompletní nabídku produktů Bafang, světového lídra v oblasti řešení pro elektromobilitu. Od vysoce výkonných motorů se středním pohonem a nábojových motorů až po pokročilé baterie, displeje, senzory a příslušenství, náš katalog shrnuje vše, co potřebujete k modernizaci, opravě nebo stavbě svého elektrokola s osvědčenou kvalitou Bafang.
Ať už jste dojíždějící, horský cyklista, kutil nebo profesionální instalatér, Bafang nabízí spolehlivé, efektivní a odolné komponenty navržené pro plynulý přenos energie a výjimečný zážitek z jízdy. Prohlédněte si celou kolekci a najděte perfektní díly pro zvýšení výkonu, zvýšení pohodlí a užívání si svobody elektrokola.
","Les perceuses Makita offrent une puissance, une précision et une durabilité exceptionnelles, aussi bien pour les professionnels que pour les bricoleurs. Dotées de moteurs sans balais de pointe, de poignées ergonomiques et de batteries longue durée, elles garantissent un perçage efficace du bois, du métal et de la maçonnerie. Que ce soit pour la construction, la rénovation ou les travaux du quotidien, les perceuses Makita offrent fiabilité et confort d'utilisation, ce qui en fait des outils indispensables à toute boîte à outils.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descripton.2,,"Explore our complete selection of Bafang products, a global leader in electric mobility solutions. From high-performance mid-drive motors and hub motors to advanced batteries, displays, sensors, and accessories, our catalog brings together everything you need to upgrade, repair, or build your e-bike with trusted Bafang quality.","Prozkoumejte naši kompletní nabídku produktů Bafang, světového lídra v oblasti řešení pro elektromobilitu. Od vysoce výkonných motorů se středním pohonem a nábojových motorů až po pokročilé baterie, displeje, senzory a příslušenství, náš katalog obsahuje vše, co potřebujete k modernizaci, opravě nebo sestavení svého elektrokola v důvěryhodné kvalitě Bafang.","Les meuleuses d'angle Makita sont conçues pour les travaux de découpe, de meulage et de polissage les plus exigeants. Dotées de moteurs haute performance, de systèmes de refroidissement optimisés et de dispositifs de sécurité tels que le démarrage progressif et la protection contre les surcharges, elles offrent un fonctionnement fluide et précis. Idéales pour la métallurgie, la construction et la fabrication, les meuleuses Makita garantissent une grande durabilité et la précision nécessaire pour travailler sans effort les matériaux les plus résistants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descripton.3,,"Whether you’re a commuter, mountain biker, DIY builder, or professional installer, Bafang offers reliable, efficient, and durable components designed for smooth power delivery and an exceptional riding experience. Browse the entire collection and find the perfect parts to boost performance, enhance comfort, and enjoy the freedom of electric cycling.","Ať už jste dojíždějící, horský cyklista, kutil nebo profesionální instalatér, Bafang nabízí spolehlivé, efektivní a odolné komponenty navržené pro plynulý přenos výkonu a výjimečný zážitek z jízdy. Prohlédněte si celou kolekci a najděte perfektní díly pro zvýšení výkonu, větší pohodlí a užívání si svobody jízdy na elektrokole.","Les batteries lithium Makita offrent une puissance exceptionnelle, une autonomie prolongée et une charge rapide pour garantir des performances optimales de tous vos outils. Dotées d'une technologie de protection avancée, elles préviennent la surchauffe et prolongent leur durée de vie. Légères et compatibles avec une large gamme d'outils sans fil Makita, ces batteries fournissent une énergie constante et une grande fiabilité, assurant une productivité continue sur tous vos chantiers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descripton.4,,"Makita’s additional tools and accessories include saws, sanders, blowers, chargers, and more—each designed with the same commitment to innovation and durability. These products enhance productivity and provide versatile solutions for construction, woodworking, and maintenance tasks. With reliable performance and ergonomic designs, Makita’s accessory range completes any professional or home workshop.","Mezi další nástroje a příslušenství Makita patří pily, brusky, foukače, nabíječky a další – každý z nich je navržen se stejným zaměřením na inovace a odolnost. Tyto produkty zvyšují produktivitu a poskytují všestranná řešení pro stavební, dřevařské a údržbářské práce. Díky spolehlivému výkonu a ergonomickému designu doplní řada příslušenství Makita každou profesionální i domácí dílnu.","La gamme d'outils et d'accessoires Makita comprend des scies, des ponceuses, des souffleurs, des chargeurs et bien plus encore, tous conçus avec le même souci d'innovation et de durabilité. Ces produits optimisent la productivité et offrent des solutions polyvalentes pour les travaux de construction, de menuiserie et d'entretien. Grâce à leurs performances fiables et à leur conception ergonomique, les accessoires Makita complètent parfaitement tout atelier, professionnel ou amateur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descripton.5,,test description 5,popis testu 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.title.menu.1,,"Bafang Catalog – Motors, Batteries & E-Bike Parts","Katalog Bafang – Motory, baterie a díly pro elektrokola",Perceuses Makita – Outils sans fil puissants et fiables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.title.menu.2,,Makita Angle Grinders – Cutting & Grinding Performance,Úhlové brusky Makita – Výkon při řezání a broušení,Meuleuses d'angle Makita – Performances de coupe et de meulage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.title.menu.3,,Makita Lithium Batteries – Long-Lasting Power,Lithiové baterie Makita – Dlouhotrvající výkon,Batteries au lithium Makita – Une puissance longue durée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.title.menu.4,,Makita Tools & Accessories – Complete Your Kit,Nástroje a příslušenství Makita – dokončete svou sadu,Outils et accessoires Makita – Complétez votre kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.title.menu.5,,Bafang official store,Oficiální obchod Bafang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.des.menu.1,,"Explore the full Bafang catalog: e-bike motors, batteries, displays, sensors, and accessories. Premium components for upgrades, repairs, and DIY electric bikes.","Prozkoumejte kompletní katalog Bafang: motory pro elektrokola, baterie, displeje, senzory a příslušenství. Prémiové komponenty pro upgrady, opravy a elektrokola pro kutily.","Découvrez les perceuses Makita, conçues pour la précision, la puissance et la durabilité. Idéales pour les professionnels et les bricoleurs, elles sont équipées de moteurs sans balais et de batteries longue durée.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.des.menu.2,,"Discover Makita angle grinders designed for tough cutting and grinding tasks. High performance, safety features, and long-lasting durability.","Objevte úhlové brusky Makita určené pro náročné řezací a brousicí úkoly. Vysoký výkon, bezpečnostní prvky a dlouhá životnost.","Découvrez les meuleuses d'angle Makita, conçues pour les travaux de découpe et de meulage les plus exigeants. Haute performance, sécurité renforcée et grande durabilité.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.des.menu.3,,"Find Makita lithium batteries offering extended runtime, fast charging, and reliability. Compatible with a wide range of Makita tools.","Najděte lithiové baterie Makita s prodlouženou výdrží, rychlým nabíjením a spolehlivostí. Kompatibilní s širokou škálou nářadí Makita.","Découvrez les batteries lithium Makita offrant une autonomie prolongée, une charge rapide et une grande fiabilité. Compatibles avec une large gamme d'outils Makita.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.des.menu.4,,"Explore Makita accessories including saws, sanders, chargers, and more. Durable, efficient tools to support every professional task.","Prozkoumejte příslušenství Makita včetně pil, brusek, nabíječek a dalších. Odolné a efektivní nástroje pro každý profesionální úkol.","Découvrez les accessoires Makita, notamment les scies, les ponceuses, les chargeurs et bien plus encore. Des outils robustes et performants pour vous accompagner dans toutes vos tâches professionnelles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta.des.menu.5,,"Explore Bafang accessories including saws, sanders, chargers, and more. Durable, efficient tools to support every professional task.","Prozkoumejte příslušenství Bafang, včetně pil, brusek, nabíječek a dalších. Odolné a efektivní nástroje pro podporu každého profesionálního úkolu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Footer,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footer.link.home,Lien footer Accueil,Home,Domů,Maison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footer.link.sitemap,Lien footer Plan du site,Site map,Mapa stránek,Plan du site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footer.link.conditions,Lien footer Conditions,Terms of Use,Podmínky použití,Conditions d'utilisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footer.link.mentions,Lien footer Mentions légales,Legal notice,Právní upozornění,Avis juridique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footer.link.policy,Lien footer Politique,Privacy Policy,Zásady ochrany osobních údajů,politique de confidentialité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footer.link.aboutus,Lien footer about us,About us,O nás,À propos de nous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.conditions.title,Titre page Conditions d'utilisation,Terms of Use - AliExpress Affiliate Makita Program,Podmínky použití – Partnerský program AliExpress od Makita,Conditions d'utilisation - Programme d'affiliation AliExpress Makita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.mentions.title,Titre page Mentions légales,Legal Notice - AliExpress Affiliate Program,Právní upozornění – Partnerský program AliExpress,Mentions légales - Programme d'affiliation AliExpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.policy.title,Titre page Politique de confidentialité,Privacy Policy - AliExpress Affiliate Program,Zásady ochrany osobních údajů – Partnerský program AliExpress,Politique de confidentialité - Programme d'affiliation AliExpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.aboutus.title,Titre page about us,About us – BAFANG,O nás – BAFANG,À propos de nous – MAKITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.conditions.meta.description,Description SEO Conditions,AliExpress Affiliate Site Terms of Use,Podmínky používání partnerského webu AliExpress,Conditions d'utilisation du site affilié AliExpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.mentions.meta.description,Description SEO Mentions légales,Legal notices for the AliExpress affiliate website,Právní upozornění pro partnerský web AliExpress,Mentions légales du site affilié AliExpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.policy.meta.description,Description SEO Politique,AliExpress Affiliate Site Privacy Policy,Zásady ochrany osobních údajů partnerského webu AliExpress,Politique de confidentialité du site affilié AliExpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.aboutus.meta.description,Description SEO About us,Learn about Makita: A global leader in professional power tools since 1915. Discover our LXT® cordless technology and durable tools for professionals.,Zjistěte více o značce Makita: Světový lídr v oblasti profesionálního elektrického nářadí od roku 1915. Objevte naši akumulátorovou technologii LXT® a odolné nářadí pro profesionály.,Découvrez Makita : leader mondial des outils électroportatifs professionnels depuis 1915. Découvrez notre technologie sans fil LXT® et nos outils durables conçus pour les professionnels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.conditions.content,Contenu de la page conditions,"Terms of Use Last updated: 2024 1. Acceptance of Terms By accessing and using this website, you agree to be bound by these terms of use. If you do not agree to these terms, please do not use this site. 2. Description of Service This site is an affiliate site that provides links to products available on AliExpress. We do not sell the products directly, but earn a commission on sales made through our affiliate links. 3. Affiliate Links All links to AliExpress are affiliate links. By clicking on these links and making a purchase, we may receive a commission at no additional cost to you. 4. Liability We are not responsible for the quality, availability, or delivery of products sold on AliExpress. All disputes concerning products must be resolved directly with AliExpress or the seller. 5. Intellectual Property The content of this site, including text, images, and logos, is protected by intellectual property laws. Any unauthorized reproduction is prohibited. 6. Modifications We reserve the right to modify these terms of use at any time. Modifications will take effect immediately upon their posting on the website. 7. Contact For any questions regarding these terms of use, you can contact us at: contact@evanstudio.com","Podmínky použití Poslední aktualizace: 2024 1. Souhlas s podmínkami Přístupem na tyto webové stránky a jejich používáním souhlasíte s tím, že budete vázáni těmito podmínkami použití. Pokud s těmito podmínkami nesouhlasíte, prosím, tyto stránky nepoužívejte. 2. Popis služby Tyto stránky jsou partnerskými stránkami, které poskytují odkazy na produkty dostupné na AliExpress. Produkty neprodáváme přímo, ale získáváme provizi z prodeje uskutečněného prostřednictvím našich partnerských odkazů. 3. Partnerské odkazy Všechny odkazy na AliExpress jsou partnerské odkazy. Kliknutím na tyto odkazy a provedením nákupu můžeme obdržet provizi bez dalších nákladů pro vás. 4. Odpovědnost Nejsme zodpovědní za kvalitu, dostupnost ani dodání produktů prodávaných na AliExpress. Veškeré spory týkající se produktů musí být řešeny přímo s AliExpress nebo prodejcem. 5. Duševní vlastnictví Obsah těchto stránek, včetně textu, obrázků a log, je chráněn zákony o duševním vlastnictví. Jakákoli neoprávněná reprodukce je zakázána. 6. Změny Vyhrazujeme si právo kdykoli změnit tyto podmínky použití. Změny nabudou účinnosti okamžitě po jejich zveřejnění na webových stránkách. 7. Kontakt V případě jakýchkoli dotazů týkajících se těchto podmínek použití nás můžete kontaktovat na adrese: contact@evanstudio.com","Conditions d'utilisation Dernière mise à jour : 2024 1. Acceptation des conditions En accédant à ce site Web et en l'utilisant, vous acceptez d'être lié par les présentes conditions d'utilisation. Si vous n'acceptez pas ces conditions, veuillez ne pas utiliser ce site. 2. Description du service Ce site est un site affilié qui fournit des liens vers des produits disponibles sur AliExpress. Nous ne vendons pas les produits directement, mais percevons une commission sur les ventes réalisées via nos liens d'affiliation. 3. Liens d'affiliation Tous les liens vers AliExpress sont des liens d'affiliation. En cliquant sur ces liens et en effectuant un achat, nous pouvons recevoir une commission sans frais supplémentaires pour vous. 4. Responsabilité Nous ne sommes pas responsables de la qualité, de la disponibilité ou de la livraison des produits vendus sur AliExpress. Tout litige concernant les produits doit être résolu directement avec AliExpress ou le vendeur. 5. Propriété intellectuelle Le contenu de ce site, y compris les textes, les images et les logos, est protégé par les lois sur la propriété intellectuelle. Toute reproduction non autorisée est interdite. 6. Modifications Nous nous réservons le droit de modifier les présentes conditions d'utilisation à tout moment. Les modifications entreront en vigueur immédiatement après leur publication sur le site Web. 7. Contact Pour toute question concernant les présentes conditions d'utilisation, vous pouvez nous contacter à l'adresse suivante : contact@evanstudio.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legal.mentions.content,Contenu de la page mentions,"<p>Last updated: 2024</p>

<h2>1. Website Publisher</h2>
<ul>
    <li>Company name: EVAN STUDIO CO.LTD</li>
    <li>Email: contact@evanstudio.net</li>
</ul>

<h2>2. Publication Director</h2>
<p>EVAN STUDIO CO.LTD (Director and Owner)</p>

<h2>3. Hosting</h2>
<ul>
    <li>Host: Cloudflare</li>
    <li>Address: 101 Townsend St, San Francisco, CA 94107, USA</li>
</ul>

<h2>4. Intellectual Property</h2>
<p>This entire website is governed by French and international legislation on copyright and intellectual property. All rights of reproduction are reserved, including for downloadable documents and iconographic and photographic representations. Reproduction of all or part of this website on any electronic medium whatsoever is strictly prohibited without the express authorization of the publication director.</p>

<h2>5. Protection of Personal Data</h2>
<p>In accordance with the French Data Protection Act of 6 January 1978, as amended, and the General Data Protection Regulation (GDPR), you have the right to access, rectify, erase, and object to the processing of your personal data. To exercise this right, you can contact us at: contact@alxgroup.com</p>

<h2>6. External Links</h2>
<p>This site contains links to external websites. We are not responsible for the content of these external websites or their privacy policies.</p>

<h2>7. Cookies</h2>
<p>This site may use cookies to improve the user experience. For more information, please see our <a href=""https://policies.google.com/privacy?hl=en-US"">Privacy Policy</a>.</p>

<h2>8. Contact</h2>
<p>For any questions regarding these legal notices, you can contact us at: contact@evanstudio.com</p>","<p>Poslední aktualizace: 2024</p>

<h2>1. Vydavatel webových stránek</h2>
<ul>
<li>Název společnosti: EVAN STUDIO CO.LTD</li>
<li>E-mail: contact@evanstudio.net</li>
</ul>

<h2>2. Ředitel pro publikaci</h2>
<p>EVAN STUDIO CO.LTD (ředitel a majitel)</p>

<h2>3. Hosting</h2>
<ul>
<li>Hosting: Cloudflare</li>
<li>Adresa: 101 Townsend St, San Francisco, CA 94107, USA</li>
</ul>

<h2>4. Duševní vlastnictví</h2>
<p>Celé tyto webové stránky se řídí francouzskými a mezinárodními právními předpisy o autorských právech a duševním vlastnictví. Všechna práva na reprodukci jsou vyhrazena, včetně práv na dokumenty ke stažení a ikonografických a fotografických znázornění. Reprodukce těchto webových stránek nebo jejich částí na jakémkoli elektronickém médiu je bez výslovného souhlasu ředitele publikace přísně zakázána.</p>

<h2>5. Ochrana osobních údajů</h2>
<p>V souladu s francouzským zákonem o ochraně osobních údajů ze dne 6. ledna 1978 ve znění pozdějších předpisů a obecným nařízením o ochraně osobních údajů (GDPR) máte právo na přístup k vašim osobním údajům, jejich opravu, vymazání a vznesení námitek proti jejich zpracování. Chcete-li toto právo uplatnit, můžete nás kontaktovat na adrese: contact@alxgroup.com</p>

<h2>6. Externí odkazy</h2>
<p>Tyto stránky obsahují odkazy na externí webové stránky. Neneseme odpovědnost za obsah těchto externích webových stránek ani za jejich zásady ochrany osobních údajů.</p>

<h2>7. Soubory cookie</h2>
<p>Tyto stránky mohou používat soubory cookie ke zlepšení uživatelského prostředí. Další informace naleznete v našich <a href=""https://policies.google.com/privacy?hl=en-US"">Zásadách ochrany osobních údajů</a>.</p>

<h2>8. Kontakt</h2>
<p>S jakýmikoli dotazy týkajícími se těchto právních upozornění nás můžete kontaktovat na adrese: contact@evanstudio.com</p>","<p>Dernière mise à jour : 2024</p>

<h2>1. Éditeur du site web</h2>

<ul>

<li>Nom de l’entreprise : EVAN STUDIO CO.LTD</li>

<li>Courriel : contact@evanstudio.net</li>

</ul>

<h2>2. Directeur de la publication</h2>

<p>EVAN STUDIO CO.LTD (Directeur et propriétaire)</p>

<h2>3. Hébergement</h2>

<ul>
<li>Hébergeur : Cloudflare</li>

<li>Adresse : 101 Townsend St, San Francisco, CA 94107, États-Unis</li>

</ul>

<h2>4. Propriété intellectuelle</h2>

<p>L’intégralité de ce site web est protégée par la législation française et internationale sur le droit d’auteur et la propriété intellectuelle. Tous les droits de reproduction sont réservés, y compris pour les documents téléchargeables et les représentations iconographiques et photographiques. La reproduction de tout ou partie de ce site web sur quelque support électronique que ce soit est strictement interdite sans l'autorisation expresse du directeur de la publication.

5. Protection des données personnelles

Conformément à la loi Informatique et Libertés du 6 janvier 1978 modifiée et au Règlement général sur la protection des données (RGPD), vous disposez d'un droit d'accès, de rectification, d'effacement et d'opposition au traitement de vos données personnelles. Pour exercer ce droit, vous pouvez nous contacter à l'adresse : contact@alxgroup.com

6. Liens externes

Ce site contient des liens vers des sites web externes. Nous ne sommes pas responsables du contenu de ces sites ni de leurs politiques de confidentialité.

7. Cookies

Ce site peut utiliser des cookies afin d'améliorer votre expérience utilisateur. Pour plus d'informations, veuillez consulter notre <a href=""https://policies.google.com/privacy?hl=en-US"">Politique de confidentialité</a>.</p>

<h2>8. Contact</h2>

<p>Pour toute question concernant ces mentions légales, vous pouvez nous contacter à l'adresse : contact@evanstudio.com</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
